trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
766,False,"{'a': 0.5, 'e': 0.00047130741079576537}",20,10,19.738497302658466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.5, 'e': 0.0004666178237030984}",30,1,46.87177552139661,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.5, 'e': 0.0004619748987816513}",20,2,27.039828293469196,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.5, 'e': 0.0004573781717350623}",30,10,35.38875778392836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.5, 'e': 0.00045282718288679695}",20,14,9.291965995450834,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.5, 'e': 0.00044832147713417755}",25,14,19.863041611905114,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.5, 'e': 0.000443860603902874}",25,12,20.568067432786663,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.5, 'e': 0.00043944411710184546}",25,2,37.13345392706993,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.5, 'e': 0.0004350715750787321}",20,10,19.981601489194855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.5, 'e': 0.00043074254057568753}",30,12,36.172779847355024,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.5, 'e': 0.00042645658068565383}",20,16,8.324072994020046,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.5, 'e': 0.00042221326680906996}",30,10,33.84274459044177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.5, 'e': 0.0004180121746110129}",20,10,18.414928084320472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.5, 'e': 0.00041385288397876164}",30,13,10.862306703776301,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
780,False,"{'a': 0.5, 'e': 0.0004097349789797868}",25,11,24.257503999132876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.5, 'e': 0.0004056580478201565}",25,7,30.789713094657042,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.5, 'e': 0.0004016216828033581}",25,0,33.227967393214556,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
783,False,"{'a': 0.5, 'e': 0.00039762548028952584}",20,13,14.202476374234585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.5, 'e': 0.0003936690406550783}",25,3,37.540761884429074,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,False,"{'a': 0.5, 'e': 0.0003897519682527545}",20,9,19.010352984050154,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.5, 'e': 0.00038587387137205064}",30,13,36.21631446297411,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
787,False,"{'a': 0.5, 'e': 0.0003820343622000467}",30,20,21.142913988765898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.5, 'e': 0.00037823305678262576}",25,11,22.67887472875259,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.5, 'e': 0.000374469574986078}",25,11,27.58214570723278,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.5, 'e': 0.0003707435404590882}",20,11,17.249477966640764,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.5, 'e': 0.0003670545805950984}",25,11,28.919934601041874,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.5, 'e': 0.0003634023264950478}",25,8,31.768568354484895,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.5, 'e': 0.00035978641293048274}",20,13,12.507451948700062,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
