trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
448,True,"{'a': 0, 'e': 0}",25,0,35.44924655407648,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
449,True,"{'a': 0, 'e': 0}",20,0,24.055566842229318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
450,True,"{'a': 0, 'e': 0}",20,0,30.0499698571377,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
451,True,"{'a': 0, 'e': 0}",20,0,26.377466935224415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
452,True,"{'a': 0, 'e': 0}",25,0,28.62803343546724,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
453,True,"{'a': 0, 'e': 0}",25,0,32.711681777142815,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
454,True,"{'a': 0, 'e': 0}",35,0,22.64109099657094,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
455,True,"{'a': 0, 'e': 0}",35,0,12.924396437378903,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
456,True,"{'a': 0, 'e': 0}",25,0,31.562218521493627,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
457,True,"{'a': 0, 'e': 0}",25,0,-11.926880832880808,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
458,True,"{'a': 0, 'e': 0}",30,0,35.51512153160213,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
459,True,"{'a': 0, 'e': 0}",20,0,3.052787821588913,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
460,True,"{'a': 0, 'e': 0}",30,0,38.97624654065864,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
461,True,"{'a': 0, 'e': 0}",20,0,26.00160849789758,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
462,True,"{'a': 0, 'e': 0}",25,14,1.8907828256360486,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
463,True,"{'a': 0, 'e': 0}",20,0,22.736341070747493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
464,True,"{'a': 0, 'e': 0}",25,0,26.677272049574135,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
465,True,"{'a': 0, 'e': 0}",20,0,23.34559421513743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
466,True,"{'a': 0, 'e': 0}",30,0,19.83601609620291,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
467,True,"{'a': 0, 'e': 0}",20,9,18.902984645704752,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,True,"{'a': 0, 'e': 0}",20,0,30.93970328717349,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
469,True,"{'a': 0, 'e': 0}",20,0,26.942489901662793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
470,True,"{'a': 0, 'e': 0}",25,0,33.64297964347069,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
471,True,"{'a': 0, 'e': 0}",30,0,36.75673590166084,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
472,True,"{'a': 0, 'e': 0}",20,0,24.976947876779107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
473,True,"{'a': 0, 'e': 0}",20,0,23.0346715043856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
474,True,"{'a': 0, 'e': 0}",25,13,19.39636153064878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,True,"{'a': 0, 'e': 0}",25,9,22.547943029542164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,True,"{'a': 0, 'e': 0}",20,0,25.79433380705152,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
477,True,"{'a': 0, 'e': 0}",25,0,16.676426808189667,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
478,True,"{'a': 0, 'e': 0}",35,0,18.70221828593188,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
479,True,"{'a': 0, 'e': 0}",30,0,35.39934877975275,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
480,True,"{'a': 0, 'e': 0}",30,0,40.78567206262466,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
481,True,"{'a': 0, 'e': 0}",25,0,23.401824430979747,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
